Specification,Year,Group,Group_Name,Field,Field_CN,Count,Total,Share
"Final classification, 2020-2024",2020,1,Chinese journals,Public Finance,公共财政,32,286,0.11188811188811189
"Final classification, 2020-2024",2020,1,Chinese journals,Miscellaneous & Methods,方法与杂项,58,286,0.20279720279720279
"Final classification, 2020-2024",2021,0,English Top 5,Development Economics,发展经济学,47,416,0.11298076923076923
"Final classification, 2020-2024",2021,0,English Top 5,Economic History,经济史,13,416,0.03125
"Final classification, 2020-2024",2021,0,English Top 5,Finance,金融学,31,416,0.07451923076923077
"Final classification, 2020-2024",2021,0,English Top 5,Industrial Organization,产业组织,31,416,0.07451923076923077
"Final classification, 2020-2024",2021,0,English Top 5,International Economics,国际经济学,29,416,0.06971153846153846
"Final classification, 2020-2024",2021,0,English Top 5,Labor Economics,劳动经济学,35,416,0.08413461538461539
"Final classification, 2020-2024",2021,0,English Top 5,Macroeconomics,宏观经济学,41,416,0.0985576923076923
"Final classification, 2020-2024",2021,0,English Top 5,Microeconomics,微观经济学,58,416,0.13942307692307693
"Final classification, 2020-2024",2021,0,English Top 5,Public Finance,公共财政,40,416,0.09615384615384616
"Final classification, 2020-2024",2021,0,English Top 5,Miscellaneous & Methods,方法与杂项,91,416,0.21875
"Final classification, 2020-2024",2021,1,Chinese journals,Development Economics,发展经济学,21,289,0.0726643598615917
"Final classification, 2020-2024",2021,1,Chinese journals,Economic History,经济史,23,289,0.07958477508650519
"Final classification, 2020-2024",2021,1,Chinese journals,Finance,金融学,42,289,0.1453287197231834
"Final classification, 2020-2024",2021,1,Chinese journals,Industrial Organization,产业组织,38,289,0.1314878892733564
"Final classification, 2020-2024",2021,1,Chinese journals,International Economics,国际经济学,21,289,0.0726643598615917
"Final classification, 2020-2024",2021,1,Chinese journals,Labor Economics,劳动经济学,25,289,0.08650519031141868
"Final classification, 2020-2024",2021,1,Chinese journals,Macroeconomics,宏观经济学,18,289,0.06228373702422145
"Final classification, 2020-2024",2021,1,Chinese journals,Microeconomics,微观经济学,9,289,0.031141868512110725
"Final classification, 2020-2024",2021,1,Chinese journals,Public Finance,公共财政,24,289,0.08304498269896193
"Final classification, 2020-2024",2021,1,Chinese journals,Miscellaneous & Methods,方法与杂项,68,289,0.23529411764705882
"Final classification, 2020-2024",2022,0,English Top 5,Development Economics,发展经济学,43,410,0.1048780487804878
"Final classification, 2020-2024",2022,0,English Top 5,Economic History,经济史,9,410,0.02195121951219512
"Final classification, 2020-2024",2022,0,English Top 5,Finance,金融学,34,410,0.08292682926829269
"Final classification, 2020-2024",2022,0,English Top 5,Industrial Organization,产业组织,38,410,0.09268292682926829
"Final classification, 2020-2024",2022,0,English Top 5,International Economics,国际经济学,20,410,0.04878048780487805
"Final classification, 2020-2024",2022,0,English Top 5,Labor Economics,劳动经济学,48,410,0.11707317073170732
"Final classification, 2020-2024",2022,0,English Top 5,Macroeconomics,宏观经济学,44,410,0.1073170731707317
"Final classification, 2020-2024",2022,0,English Top 5,Microeconomics,微观经济学,52,410,0.12682926829268293
"Final classification, 2020-2024",2022,0,English Top 5,Public Finance,公共财政,26,410,0.06341463414634146
"Final classification, 2020-2024",2022,0,English Top 5,Miscellaneous & Methods,方法与杂项,96,410,0.23414634146341465
"Final classification, 2020-2024",2022,1,Chinese journals,Development Economics,发展经济学,19,289,0.0657439446366782
"Final classification, 2020-2024",2022,1,Chinese journals,Economic History,经济史,36,289,0.1245674740484429
"Final classification, 2020-2024",2022,1,Chinese journals,Finance,金融学,41,289,0.14186851211072665
"Final classification, 2020-2024",2022,1,Chinese journals,Industrial Organization,产业组织,24,289,0.08304498269896193
"Final classification, 2020-2024",2022,1,Chinese journals,International Economics,国际经济学,21,289,0.0726643598615917
"Final classification, 2020-2024",2022,1,Chinese journals,Labor Economics,劳动经济学,15,289,0.05190311418685121
"Final classification, 2020-2024",2022,1,Chinese journals,Macroeconomics,宏观经济学,27,289,0.09342560553633218
"Final classification, 2020-2024",2022,1,Chinese journals,Microeconomics,微观经济学,14,289,0.04844290657439446
"Final classification, 2020-2024",2022,1,Chinese journals,Public Finance,公共财政,27,289,0.09342560553633218
"Final classification, 2020-2024",2022,1,Chinese journals,Miscellaneous & Methods,方法与杂项,65,289,0.22491349480968859
"Final classification, 2020-2024",2023,0,English Top 5,Development Economics,发展经济学,30,400,0.075
"Final classification, 2020-2024",2023,0,English Top 5,Economic History,经济史,12,400,0.03
"Final classification, 2020-2024",2023,0,English Top 5,Finance,金融学,28,400,0.07
"Final classification, 2020-2024",2023,0,English Top 5,Industrial Organization,产业组织,25,400,0.0625
"Final classification, 2020-2024",2023,0,English Top 5,International Economics,国际经济学,31,400,0.0775
"Final classification, 2020-2024",2023,0,English Top 5,Labor Economics,劳动经济学,50,400,0.125
"Final classification, 2020-2024",2023,0,English Top 5,Macroeconomics,宏观经济学,51,400,0.1275
"Final classification, 2020-2024",2023,0,English Top 5,Microeconomics,微观经济学,48,400,0.12
"Final classification, 2020-2024",2023,0,English Top 5,Public Finance,公共财政,40,400,0.1
"Final classification, 2020-2024",2023,0,English Top 5,Miscellaneous & Methods,方法与杂项,85,400,0.2125
"Final classification, 2020-2024",2023,1,Chinese journals,Development Economics,发展经济学,16,230,0.06956521739130435
"Final classification, 2020-2024",2023,1,Chinese journals,Economic History,经济史,14,230,0.06086956521739131
"Final classification, 2020-2024",2023,1,Chinese journals,Finance,金融学,36,230,0.1565217391304348
"Final classification, 2020-2024",2023,1,Chinese journals,Industrial Organization,产业组织,25,230,0.10869565217391304
"Final classification, 2020-2024",2023,1,Chinese journals,International Economics,国际经济学,17,230,0.07391304347826087
"Final classification, 2020-2024",2023,1,Chinese journals,Labor Economics,劳动经济学,18,230,0.0782608695652174
"Final classification, 2020-2024",2023,1,Chinese journals,Macroeconomics,宏观经济学,30,230,0.13043478260869565
"Final classification, 2020-2024",2023,1,Chinese journals,Microeconomics,微观经济学,8,230,0.034782608695652174
"Final classification, 2020-2024",2023,1,Chinese journals,Public Finance,公共财政,25,230,0.10869565217391304
"Final classification, 2020-2024",2023,1,Chinese journals,Miscellaneous & Methods,方法与杂项,41,230,0.1782608695652174
"Final classification, 2020-2024",2024,0,English Top 5,Development Economics,发展经济学,43,416,0.10336538461538461
"Final classification, 2020-2024",2024,0,English Top 5,Economic History,经济史,15,416,0.036057692307692304
"Final classification, 2020-2024",2024,0,English Top 5,Finance,金融学,27,416,0.06490384615384616
"Final classification, 2020-2024",2024,0,English Top 5,Industrial Organization,产业组织,25,416,0.06009615384615385
"Final classification, 2020-2024",2024,0,English Top 5,International Economics,国际经济学,25,416,0.06009615384615385
"Final classification, 2020-2024",2024,0,English Top 5,Labor Economics,劳动经济学,49,416,0.11778846153846154
"Final classification, 2020-2024",2024,0,English Top 5,Macroeconomics,宏观经济学,45,416,0.10817307692307693
"Final classification, 2020-2024",2024,0,English Top 5,Microeconomics,微观经济学,52,416,0.125
"Final classification, 2020-2024",2024,0,English Top 5,Public Finance,公共财政,48,416,0.11538461538461539
"Final classification, 2020-2024",2024,0,English Top 5,Miscellaneous & Methods,方法与杂项,87,416,0.2091346153846154
"Final classification, 2020-2024",2024,1,Chinese journals,Development Economics,发展经济学,10,244,0.040983606557377046
"Final classification, 2020-2024",2024,1,Chinese journals,Economic History,经济史,18,244,0.07377049180327869
"Final classification, 2020-2024",2024,1,Chinese journals,Finance,金融学,38,244,0.1557377049180328
"Final classification, 2020-2024",2024,1,Chinese journals,Industrial Organization,产业组织,31,244,0.12704918032786885
"Final classification, 2020-2024",2024,1,Chinese journals,International Economics,国际经济学,21,244,0.0860655737704918
"Final classification, 2020-2024",2024,1,Chinese journals,Labor Economics,劳动经济学,17,244,0.06967213114754098
"Final classification, 2020-2024",2024,1,Chinese journals,Macroeconomics,宏观经济学,35,244,0.14344262295081966
"Final classification, 2020-2024",2024,1,Chinese journals,Microeconomics,微观经济学,14,244,0.05737704918032787
"Final classification, 2020-2024",2024,1,Chinese journals,Public Finance,公共财政,25,244,0.10245901639344263
"Final classification, 2020-2024",2024,1,Chinese journals,Miscellaneous & Methods,方法与杂项,35,244,0.14344262295081966
