Title,Abstract,Year,Author,Keywords,Journal,CLC
中国开放型经济学:构建阐释中国开放成就的经济理论(英文),"构建中国开放型经济学理论,应突破西方主流国际经济学的局限性。一是揭示围绕""三对关系、六条线索""展开的中国渐进式贸易自由化进程的规律。二是总结互联网、数字技术和人工智能等新业态重塑中小企业微观主体地位,培育和形成国际竞争新优势的经验。三是分析共建""一带一路""建立的合作共赢、海陆贯通的新型国际生产分工模式及其蕴含的贸易盈余与资本输出紧密联系的新型国际经济多元平衡观。四是在习近平重要论述指导下,将人类命运共同体全球经济治理中国方案的理念学理化。",2021,裴长洪;刘斌;龚华燕,中国特色社会主义;开放型经济学;全球治理;人类命运共同体,Social Sciences in China,
地域社会论与乡族理论:比较视野下的社会经济史研究(英文),"当代中日两国学者对中国古代史研究一直保持着密切的交流与对话。明清江南社会经济史研究兼具区域史和社会经济史这两个侧重点不同的重要的研究领域。区域史研究具有宏观整体的视野,社会经济史侧重人类的经济和社会行为,两者的长期结合研究,逐渐产生了一些具有重要影响力的有关明清江南社会发展的一般性结论。日本学者森正夫对""地域社会论""做了深入的阐释,中国学者郑振满则从""乡族理论""的角度做了回应。国际学术界长期保持的对话和交流所激发的古代社会研究的理论创新是宝贵的知识共同体财富。",2021,郑振满;森正夫;王文娥,明清;江南;社会经济史;地域社会论;乡族理论,Social Sciences in China,
金融资本主义的崛起及其影响——对资本主义新形态的社会学分析(英文),"相比波兰尼提出的第一次""大转型"",金融资本主义的出现堪称影响更为深远的第二次""大转型""。金融资本主义的全球化扩张使其力量超越了民族国家的范围,政府、企业、家庭和个人等行为主体都日益受到金融市场的指引和重塑,导致""社会生活金融化""趋势。其重要社会后果是:金融市场与社会脱嵌的趋势日益明显,逐渐侵蚀着国家、工会、市民社会等力量,加剧了发达资本主义国家的就业危机、贫富分化和结构性的不平等。面对金融资本对社会的侵蚀,西方社会生发出""社会自我保护""的举措,目前看来收效甚微。而如何在全球层面建立一种新的金融和市场治理架构,以有效应对金融资本主义带来的负面影响,仍任重道远。",2020,杨典;欧阳璇宇;亢晓妮,金融资本主义;股东价值最大化;大转型;社会自我保护运动,Social Sciences in China,
内部劳动力市场与中国劳动关系转型——基于珠三角地区农民工的调查数据和田野资料(英文),"基于2006—2010年珠三角地区农民工问卷调查数据和近年的田野调查资料,发现《劳动合同法》的颁布促进了劳动合同的签订和合同期限的长期化,使得企业愿意加大人力资本投资,增加员工保险和福利投入,更加注重人性化管理,最终建立起一套将农民工纳入其中的内部劳动力市场制度;与此同时,中小企业和私营企业人力资源管理技术和策略也得到不断发展。虽然《劳动合同法》在一定程度上提高了农民工集体维权倾向,但内部劳动力市场的建立又可以缓解劳资之间的紧张,员工维权更加理性、审慎,为劳资之间从对抗迈向合作共赢提供了基础。《劳动合同法》加快并强化了中国劳动关系的""个体化""发展趋势。从""刚性""的法律制度和""柔性""的内部管理两个渠道保护劳工权益,有助降低大规模集体性劳资纠纷发生的风险,建立相对和谐的制度化的劳动关系。",2020,孙中伟;刘明巍;贾海龙;亢晓妮,劳动合同法;农民工;劳动关系;内部劳动力市场,Social Sciences in China,
基于小农户生产的扶贫实践与理论探索——以“巢状市场小农扶贫试验”为例(英文),"以市场为导向的产业扶贫方式在我国的精准扶贫工作中发挥了重要作用,但它很难全面覆盖深度贫困的小农户,也面临很多挑战。因此,需要探索和创新适合贫困小农户的多种生产扶贫方式。一项在河北省太行山区村庄开展8年的扶贫行动表明,""巢状市场小农扶贫""以""贫困小农户现在有什么""的生计资源为出发点,以健康农产品和地方特色食物产品的小农式生产为""产业"",以城市普通消费者对健康食物的需求为对接出口,以""巢状市场""为交易和互动的组织形式,通过农村贫困人口和城市人口的相互信任和共同参与,成功地将生计资源和社会资本转化为贫困人口的收入,实现精准、稳定和可持续的脱贫结果,彰显创新、协调、绿色和共享的发展理念。",2020,叶敬忠;贺聪志;亢晓妮,小农生产;精准扶贫;生产扶贫;巢状市场,Social Sciences in China,
全球系统性金融风险溢出与外部冲击(英文),"国际金融危机的冲击引发了各国对系统性金融风险的广泛关注以及监管机制的重新审视,""太大而不能倒""的传统原则正向""太关联而不能倒""的新理念转变。采用""有向无环图技术方法""以及网络拓扑分析方法,从网络关联视角考察全球系统性金融风险的动态演变,以及全球金融市场的风险走势发现,中国内地金融市场为风险溢出的净输入者,64%的全球波动溢出规模使得系统性金融风险具有明显的跨市场传染效应。为保持中国金融市场的稳定与安全,宏观审慎风险防范机制应该考虑""太关联而不能倒""的监管理念。",2020,杨子晖;周颖刚;龚华燕,系统性金融风险;有向无环图;网络拓扑方法,Social Sciences in China,
能源效率提升的新视角 ——基于市场分割的检验(英文),"基于微观和宏观层面的事实对比发现,中国部分企业在微观能源的效率上已达到国际前沿水平,但行业和全国层面的总体能源效率严重滞后。究其原因,基于市场分割框架的假说认为,市场分割通过影响技术效率、规模效率和配置效率三个渠道抑制能源效率,并为基于中国省际面板数据的实证研究所证明。",2020,魏楚;郑新业;龚华燕,能源效率;市场分割;技术效率;规模效率;配置效率,Social Sciences in China,
劳动分工视域下的陪读母亲——关于M镇高中陪读现象的分析(英文),"在现代社会,身处不同阶层的女性家长都卷入以教育参与建构母亲身份的过程中。但是不同阶层的母亲却有不同的行动方式。在日益激烈的教育竞争中,普通劳动家庭的母亲迁居学校附近,照料面临高考的子女,并在陪读劳动中建构其""陪读母亲""身份。本研究以典型的高考陪读群落聚居地M镇的陪读母亲为研究对象,从性别和阶层视角结构化地分析""陪读母亲""的教育劳动及生产关系特征。""陪读母亲""的教育劳动是家庭性别分工下新的""家务劳动""。从分工内容看,母亲们的服侍子女生活的陪读劳动属于学校教育劳动分工链溢出的""低端""劳作。一方面,由于缺乏文化资本,家长与学校的关系是""陪""与""服从"",另一方面,她们自觉远离""素质教育"",与学校有效的""应试教育""形成有机配合;传统""望子成龙""和现代""儿童本位""养育观联合塑造了陪读母亲配合学校教育的服务型母亲形象。陪读,既是在当前教育与社会劳动分工下中下层女性家长不得不以""照料子女生活""的方式参与的教育劳动,又是中国劳动阶层母亲为争取子女教育成功所做出的能动的、理性的行动策略。",2020,范云霞;郑新蓉;史璟,教育劳动;分工;陪读;阶层与性别,Social Sciences in China,
