Field,Best_cut,Early_count,Early_total,Early_share_percent,Late_count,Late_total,Late_share_percent,Difference_pp,Permutation_p,BH_q_value,Significant_after_BH_0.05
国际经济学,2023/2024,77,1094,7.038391224862889,57,498,11.44578313253012,4.407391907667231,0.0065993400659934,0.059394060593940604,False
经济史,2022/2023,84,864,9.722222222222223,47,728,6.456043956043957,-3.2661782661782657,0.05549445055494451,0.24972502749725028,False
微观经济学,2021/2022,17,575,2.9565217391304346,47,1017,4.621435594886923,1.6649138557564878,0.23587641235876414,0.5833216678332167,False
发展经济学,2023/2024,76,1094,6.946983546617916,25,498,5.020080321285141,-1.9269032253327754,0.28217178282171784,0.5833216678332167,False
宏观经济学,2022/2023,76,864,8.796296296296296,80,728,10.989010989010989,2.1927146927146923,0.3240675932406759,0.5833216678332167,False
产业组织,2023/2024,116,1094,10.603290676416819,62,498,12.449799196787147,1.8465085203703295,0.5055494450554945,0.7583241675832418,False
公共财政,2022/2023,83,864,9.606481481481481,79,728,10.851648351648352,1.2451668701668708,0.7359264073592641,0.92499500049995,False
劳动经济学,2021/2022,43,575,7.478260869565218,67,1017,6.588003933136677,-0.8902569364285406,0.8222177782221778,0.92499500049995,False
金融学,2022/2023,130,864,15.046296296296296,114,728,15.659340659340659,0.6130443630443627,0.9699030096990301,0.9699030096990301,False
