Field,Paper_count,Beta,SE,z,p_value,OR,OR_CI_lower,OR_CI_upper,Annual_odds_change_percent,BH_q_value,Significant_after_BH_0.05
国际经济学,134,0.16061000492684807,0.05309845331898937,3.0247586301993055,0.002488316218734957,1.1742269367844513,1.0581658047493918,1.3030178190238748,17.422693678445135,0.022394845968614616,True
经济史,131,-0.08266137400133591,0.05383373529875167,-1.5354939341029288,0.12466254594884739,0.9206628548196438,0.8284693020990994,1.023115871761373,-7.933714518035617,0.469347366786158,False
微观经济学,64,0.10547456504082078,0.07442904621675314,1.4171156343137399,0.15644912226205265,1.1112378398743028,0.9603990867474532,1.2857670876703189,11.12378398743028,0.469347366786158,False
发展经济学,101,-0.0698410450751163,0.06054878903259556,-1.153467248329581,0.24871865306523755,0.9325420402754202,0.8281866961436132,1.05004663915809,-6.74579597245798,0.5596169693967845,False
产业组织,178,0.03173580477324436,0.04629248653390783,0.6855497975896986,0.49299704822581136,1.0322447551399074,0.9427091553081817,1.1302841693157364,3.2244755139907433,0.8873946868064605,False
公共财政,162,0.025676009206945186,0.04825852208033779,0.5320512958146825,0.5946904685326749,1.0260084773173066,0.9334100354068849,1.1277930979905268,2.60084773173066,0.8920357027990123,False
宏观经济学,156,0.010484436610485986,0.0491095867349763,0.21349062998770613,0.8309442968493139,1.0105395909013672,0.9178049778223394,1.1126440686801065,1.0539590901367246,0.9646130206723748,False
金融学,244,0.0018555378057419855,0.040553379245475196,0.045755442339592944,0.9635051734498559,1.001857260381286,0.9253075728821334,1.0847398201360563,0.18572603812860855,0.9646130206723748,False
劳动经济学,110,-0.002556466428870919,0.05762278059329765,-0.04436555130712093,0.9646130206723749,0.997446798548569,0.8909231413067084,1.1167070085030895,-0.25532014514310086,0.9646130206723748,False
