Scope,Analysis,N,Number_of_fields,Pearson_chi2,Pearson_df,Pearson_p,Cramers_V,Minimum_expected_frequency,Multinomial_LR,Multinomial_df,Multinomial_p,Optimizer_converged,Maximum_absolute_gradient
最终分类,十领域整体检验,1592,10,62.50233064183045,45,0.042995131704624795,0.08861180275882923,9.246231155778894,18.463998678425924,9,0.030156382156408357,True,5.5279705428290526e-05
原始分类,十领域整体检验,1592,10,54.03437665966398,45,0.16742791773249865,0.08239076570725104,12.569095477386934,12.143835365837731,9,0.20532150312245626,True,5.7981798377682026e-05
高置信分类,十领域整体检验,1274,10,56.06296134052721,45,0.12480114043529576,0.09381413983034691,7.565934065934066,16.143196288119725,9,0.06395082555029791,True,5.176908139858938e-05
