Year,发展经济学,经济史,金融学,产业组织,国际经济学,劳动经济学,宏观经济学,微观经济学,公共财政,方法与杂项
2020,20,25,47,29,18,18,31,8,32,58
2021,21,23,42,38,21,25,18,9,24,68
2022,19,36,41,24,21,15,27,14,27,65
2023,16,14,36,25,17,18,30,8,25,41
2024,10,18,38,31,21,17,35,14,25,35
2025,15,15,40,31,36,17,15,11,29,45
