Scope,N,Field,Paper_count,Beta,SE,z,p_value,OR,OR_CI_lower,OR_CI_upper,Annual_odds_change_percent,BH_q_value,Significant_after_BH_0.05
最终分类,1786,国际经济学,136,0.19025083201976709,0.0519402326345946,3.662879859591757,0.00024939552550072694,1.2095529542204135,1.092477416148103,1.3391749133100561,20.955295422041353,0.0022445597295065426,True
最终分类,1786,产业组织,180,0.05940797848520769,0.04515867690419754,1.3155385090497562,0.18832898403072296,1.0612081025091624,0.9713163862866732,1.1594189624828615,6.120810250916242,0.7326688129111948,False
最终分类,1786,经济史,151,-0.05765739952253153,0.04951273696498564,-1.1644963105817725,0.24422293763706493,0.9439732977461759,0.8566701154312054,1.0401735403239343,-5.602670225382411,0.7326688129111948,False
最终分类,1786,发展经济学,119,-0.05020030935008401,0.05516642862823266,-0.9099793225402464,0.3628334146839459,0.951038903435124,0.8535710374448762,1.0596364639486662,-4.896109656487601,0.7725354757202525,False
最终分类,1786,公共财政,182,0.03330334874119174,0.04497508988681723,0.7404843175411503,0.45900617349232997,1.0338641130550486,0.94662918798351,1.1291380171152314,3.386411305504855,0.7725354757202525,False
最终分类,1786,金融学,256,0.016671933998981724,0.03887897916280216,0.4288161458450215,0.6680570279327802,1.0168116862572087,0.9422064517894335,1.0973242683125757,1.6811686257208747,0.7725354757202525,False
最终分类,1786,劳动经济学,108,-0.023553205884702492,0.05743379870227683,-0.41009312315900814,0.6817376371146704,0.9767220059279008,0.8727348855460016,1.0930992821113004,-2.3277994072099184,0.7725354757202525,False
最终分类,1786,微观经济学,74,0.02145986373023195,0.06830112748741171,0.3141948679278702,0.7533730402735527,1.021691782617432,0.8936774651468087,1.1680434377927469,2.16917826174321,0.7725354757202525,False
最终分类,1786,宏观经济学,158,0.013868071412381363,0.04797644854077438,0.2890599832664796,0.7725354757202525,1.0139646791859793,0.9229633361700719,1.1139384744176624,1.3964679185979323,0.7725354757202525,False
原始分类,1786,国际经济学,162,0.12517481471424646,0.04747837669389159,2.636459445976615,0.008377621351101441,1.1333465614054699,1.0326385197247965,1.2438761519296428,13.334656140546986,0.07539859215991297,False
原始分类,1786,经济史,219,-0.05452226463555689,0.04193875570902868,-1.3000448800587379,0.19358558755498934,0.9469374254064463,0.8722124705851461,1.0280642823575101,-5.306257459355368,0.42908638170813057,False
原始分类,1786,发展经济学,141,-0.06622710427907322,0.05118690264753849,-1.2938291018524442,0.19572445807947159,0.9359182891058465,0.8465775801506222,1.0346872683859263,-6.408171089415349,0.42908638170813057,False
原始分类,1786,产业组织,216,0.05173939204237621,0.04170867373661612,1.240494779793348,0.21479244382553997,1.0531012601801915,0.9704362090854548,1.1428080009898405,5.310126018019146,0.42908638170813057,False
原始分类,1786,微观经济学,123,-0.06425129351985868,0.05449447592541129,-1.1790423236256447,0.23838132317118366,0.9377693145670447,0.84277061268186,1.0434764503060767,-6.223068543295529,0.42908638170813057,False
原始分类,1786,宏观经济学,188,0.03453060254888595,0.04433295871667553,0.778892353419613,0.4360431286791049,1.0351337056212395,0.9489852752749901,1.1291026493563525,3.513370562123952,0.6540646930186573,False
原始分类,1786,公共财政,204,0.021050208669839587,0.042811738551252365,0.49169245123365374,0.622936775497005,1.0212733271255785,0.9390741847596725,1.1106675336465275,2.12733271255785,0.7924757548500798,False
原始分类,1786,劳动经济学,120,-0.020733745635625384,0.05465499296250611,-0.3793568439364533,0.7044228932000709,0.9794797206046304,0.8799787391644533,1.0902314798953712,-2.05202793953696,0.7924757548500798,False
原始分类,1786,金融学,271,0.0047259206339180255,0.03801195076892292,0.12432723231299543,0.901056186305698,1.0047371054093495,0.932601297932727,1.0824525477544191,0.47371054093494624,0.901056186305698,False
高置信分类,1345,国际经济学,122,0.19132170316956215,0.05553810507425555,3.4448727214182266,0.0005713283479758362,1.2108489233673752,1.0859628547788,1.3500969289769797,21.084892336737514,0.005141955131782525,True
高置信分类,1345,经济史,135,-0.09682951046589389,0.052920468812815584,-1.8297175485800872,0.06729218543004412,0.9077107481245037,0.8182776051618911,1.006918430937304,-9.228925187549631,0.3028148344351985,False
高置信分类,1345,发展经济学,109,-0.09387083749380055,0.05826175389125224,-1.611191411590767,0.10713800914671158,0.9104003442371174,0.8121551585463519,1.0205301019949848,-8.959965576288266,0.32141402744013475,False
高置信分类,1345,劳动经济学,105,-0.07428815844768046,0.05901060352296056,-1.2588950800812522,0.20806823113153294,0.9284041278001441,0.8270013584360814,1.0422403974599577,-7.1595872199855854,0.4681535200459491,False
高置信分类,1345,微观经济学,56,0.07575098772494211,0.07835861190908701,0.9667219196382613,0.33368306630434785,1.0786939326808913,0.9251199338884176,1.2577618941923172,7.869393268089131,0.6006295193478262,False
高置信分类,1345,产业组织,158,0.03524329253359104,0.04858636211189562,0.7253741791250979,0.4682225092910184,1.0358716979947158,0.9417777398471534,1.1393666778327167,3.587169799471579,0.7023337639365276,False
高置信分类,1345,公共财政,172,0.0252746078750141,0.04685400979044066,0.5394331880677313,0.5895879861540186,1.0255967187936774,0.9356074782412637,1.1242413662379032,2.559671879367742,0.7580416964837383,False
高置信分类,1345,金融学,245,-0.009429808524951778,0.04061116000487047,-0.2321974679822213,0.8163846442792478,0.9906145126965067,0.9148202490467596,1.0726884475802405,-0.9385487303493312,0.9184327248141538,False
高置信分类,1345,宏观经济学,145,-0.0027036419631705885,0.05052094662362849,-0.0535152673070877,0.9573213665281315,0.9973000095851942,0.903278192325705,1.101108515149441,-0.2699990414805842,0.9573213665281314,False
